treatment,treatment_name,short_name,p_label_0,p_label_1,rank_by_p_label_1,is_best_treatment
0,Zidovudine (ZDV/AZT),ZDV,0.6607795371498173,0.33922046285018265,4,False
1,Zidovudine + Didanosine,ZDV + ddI,0.8450210378681626,0.15497896213183732,1,True
2,Zidovudine + Zalcitabine,ZDV + ddC,0.80605738575983,0.19394261424017004,3,False
3,Didanosine (ddI),ddI,0.8367799113737076,0.16322008862629248,2,False
