preanti,strat,probability
positive_1,1,0.026172839506172847
positive_1,2,0.9535802469135803
positive_1,3,0.020246913580246915
positive_2,1,0.0024838549428713363
positive_2,2,0.005464480874316941
positive_2,3,0.9920516641828117
positive_3,1,0.0024764735017335318
positive_3,2,0.008420009905894007
positive_3,3,0.9891035165923724
zero,1,0.9976575310377136
zero,2,0.0011712344811431246
zero,3,0.0011712344811431246
