cd80,cd40,probability
cd80_1,cd40_1,0.44958550221708116
cd80_1,cd40_2,0.33333333333333337
cd80_1,cd40_3,0.21708116444958553
cd80_2,cd40_1,0.2994943601711396
cd80_2,cd40_2,0.3467522364838584
cd80_2,cd40_3,0.35375340334500194
cd80_3,cd40_1,0.2635658914728682
cd80_3,cd40_2,0.3089147286821705
cd80_3,cd40_3,0.42751937984496124
