homo,cd80,probability
0,cd80_1,0.3915525114155251
0,cd80_2,0.3333333333333333
0,cd80_3,0.2751141552511415
1,cd80_1,0.30577543242450894
1,cd80_2,0.33128114922310176
1,cd80_3,0.36294341835238936
