representation,rows,variables,total_states,rare_states,minimum_state_count,joint_state_space,collapsed_rows,collapsed_percentage,encoded_feature_count,log_loss,brier_score,roc_auc,accuracy,ece
sparse,1711,16,41,0,39,1990656,92,5.376972530683811,41,0.5208202281948884,0.17144316663757736,0.6784022550120645,0.7533606078316774,0.027748560807958112
rich,1711,16,46,0,39,7864320,31,1.8118059614260666,46,0.5180975071257015,0.17046971917867426,0.6854621403341007,0.7527761542957335,0.02717377875984262
