model,features,encoded_parameters,log_loss,brier_score,roc_auc,accuracy,bic
baseline_without_treatment,15,38,0.526700407343554,0.17321501807322434,0.6559948331906346,0.7568673290473408,2085.272458337545
baseline_plus_treatment,16,42,0.5208202281948884,0.17144316663757736,0.6784022550120645,0.7533606078316774,2094.9298183863802
