model,treatment,test_rows,observed_P_label_1,model_P_label_1,absolute_difference
Current final DAG,0,106,0.33962264150943394,0.25440282848885437,0.08521981302057957
Current final DAG,1,104,0.19230769230769232,0.25738033667856747,0.06507264437087515
Current final DAG,2,105,0.20952380952380953,0.2558110297208128,0.04628722019700329
Current final DAG,3,113,0.23008849557522124,0.2591876970893069,0.029099201514085654
Sensitivity DAG (trt -> label),0,106,0.33962264150943394,0.3585654954131486,0.01894285390371464
Sensitivity DAG (trt -> label),1,104,0.19230769230769232,0.2065089958159502,0.014201303508257879
Sensitivity DAG (trt -> label),2,105,0.20952380952380953,0.22936959656509404,0.019845787041284507
Sensitivity DAG (trt -> label),3,113,0.23008849557522124,0.23940444546641906,0.009315949891197828
