model,log_loss,brier_score,accuracy,ece,positive_rate,mean_predicted_probability,roc_auc,development_BIC,parameter_count,edges
Current final DAG,0.5423000359198454,0.1787629257490195,0.7570093457943925,0.0420391633786137,0.24299065420560748,0.25673509982749204,0.6097162867996202,-18895.618762642593,79,22
Sensitivity DAG (trt -> label),0.5330119496710005,0.17529858003681398,0.7663551401869159,0.044487781953857664,0.24299065420560748,0.2584611870460112,0.6371972934472934,-18937.325791999432,97,23
